passage,question,answer,mutation_change,answerable,answer_type,gpt5_answer,gpt5_correct,llama_answer,llama_accuracy,gpt_old_answer,gpt_old_accuracy
"Gwlad yn y Cefnfor Tawel sydd yn cynnwys dwy ynys fawr (Ynys y Gogledd ac Ynys y De) a nifer o ynysoedd bychain yw Seland Newydd (Saesneg: New Zealand, Maori: Aotearoa). Yn iaith y Maori, pobl wreiddiol y wlad, Aotearoa yw ei henw, a chyfieithir yr enw yn aml fel ""gwlad o dan gwmwl gwyn hir"". Yn ôl y chwedlau, roedd cwmwl gwyn uwchben uwch pan ddaeth y bobl gyntaf i'r wlad. Yn ôl y Cyfrifiad Cenedlaethol diweddaraf, roedd poblogaeth y wlad yn 5,118,700 (31 Rhagfyr 2021). Auckland ar Ynys y Gogledd yw'r ddinas fwyaf, ond Wellington (ar yr un ynys) yw'r brifddinas. Christchurch yw'r ddinas fwyaf ar Ynys y De. ",Faint o ynysoedd bychain sydd yn Seland Newydd?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Nifer o ynysoedd bychain,0,Nifer o ynysoedd bychain yn Seland Newydd yw DIM YN Y DARN TESTUN,0
"Gwlad yn y Cefnfor Tawel sydd yn cynnwys dwy ynys fawr (Ynys y Gogledd ac Ynys y De) a nifer o ynysoedd bychain yw Seland Newydd (Saesneg: New Zealand, Maori: Aotearoa). Yn iaith y Maori, pobl wreiddiol y wlad, Aotearoa yw ei henw, a chyfieithir yr enw yn aml fel ""gwlad o dan gwmwl gwyn hir"". Yn ôl y chwedlau, roedd cwmwl gwyn uwchben uwch pan ddaeth y bobl gyntaf i'r wlad. Yn ôl y Cyfrifiad Cenedlaethol diweddaraf, roedd poblogaeth y wlad yn 5,118,700 (31 Rhagfyr 2021). Auckland ar Ynys y Gogledd yw'r ddinas fwyaf, ond Wellington (ar yr un ynys) yw'r brifddinas. Christchurch yw'r ddinas fwyaf ar Ynys y De. ",Beth oedd poblogaeth y wlad yn ôl y Cyfrifiad Cenedlaethol diweddaraf?,"5,118,700",0,1,other_numeric,"5,118,700",1,"5,118,700",1,"5,118,700",1
"Gwlad yn y Cefnfor Tawel sydd yn cynnwys dwy ynys fawr (Ynys y Gogledd ac Ynys y De) a nifer o ynysoedd bychain yw Seland Newydd (Saesneg: New Zealand, Maori: Aotearoa). Yn iaith y Maori, pobl wreiddiol y wlad, Aotearoa yw ei henw, a chyfieithir yr enw yn aml fel ""gwlad o dan gwmwl gwyn hir"". Yn ôl y chwedlau, roedd cwmwl gwyn uwchben uwch pan ddaeth y bobl gyntaf i'r wlad. Yn ôl y Cyfrifiad Cenedlaethol diweddaraf, roedd poblogaeth y wlad yn 5,118,700 (31 Rhagfyr 2021). Auckland ar Ynys y Gogledd yw'r ddinas fwyaf, ond Wellington (ar yr un ynys) yw'r brifddinas. Christchurch yw'r ddinas fwyaf ar Ynys y De. ",Mae'r brifddinas Seland Newydd ar Ynys y De. Gwir neu gau?,gau,0,1,true_false,Gau,1,Gwir.,0,Gwir,0
"Math o chwaraeon yw hoci iâ, sy'n boblogaidd yn enwedig mewn gwledydd fel Canada, Rwsia, Sweden a'r Ffindir. Cynghrair Hoci Genedlaethol (NHL) Gogledd America yw'r gynghrair hoci iâ bwysicaf yn y byd, gyda thimau o Ganada ac o UDA. Bellach nid oes llawer o hoci iâ yng Nghymru nag yng ngwledydd Prydain, ond chwaraeai Steve Thomas yn yr NHL rhwng 1984 a 2004. Chwaraewr arall o Gymru a wnaeth ei farc yn yr Amerig oedd Cy Thomas. Mae hoci iâ yn perthyn i deulu campau hoci ac yn amrywiaeth boblogaidd ar y gamp. Yng Nghanada a'r Unol Daleithiau cyfeirir at hoci iâ yn syml fel hockey gan ystyried mae dyna'r gamp arferol â'r enw.",Pwy chwaraeai yn yr NHL rhwng 1984 a 2004?,Steve Thomas,0,1,person,Steve Thomas,1,Steve Thomas,1,Steve Thomas,1
"Math o chwaraeon yw hoci iâ, sy'n boblogaidd yn enwedig mewn gwledydd fel Canada, Rwsia, Sweden a'r Ffindir. Cynghrair Hoci Genedlaethol (NHL) Gogledd America yw'r gynghrair hoci iâ bwysicaf yn y byd, gyda thimau o Ganada ac o UDA. Bellach nid oes llawer o hoci iâ yng Nghymru nag yng ngwledydd Prydain, ond chwaraeai Steve Thomas yn yr NHL rhwng 1984 a 2004. Chwaraewr arall o Gymru a wnaeth ei farc yn yr Amerig oedd Cy Thomas. Mae hoci iâ yn perthyn i deulu campau hoci ac yn amrywiaeth boblogaidd ar y gamp. Yng Nghanada a'r Unol Daleithiau cyfeirir at hoci iâ yn syml fel hockey gan ystyried mae dyna'r gamp arferol â'r enw.",O ble mae'r timau yn y Gynghrair Hoci Genedlaethol?,Canada ac UDA,1,1,location,o Ganada ac o UDA,1,Gogledd America,0,Canada ac UDA,1
"Math o chwaraeon yw hoci iâ, sy'n boblogaidd yn enwedig mewn gwledydd fel Canada, Rwsia, Sweden a'r Ffindir. Cynghrair Hoci Genedlaethol (NHL) Gogledd America yw'r gynghrair hoci iâ bwysicaf yn y byd, gyda thimau o Ganada ac o UDA. Bellach nid oes llawer o hoci iâ yng Nghymru nag yng ngwledydd Prydain, ond chwaraeai Steve Thomas yn yr NHL rhwng 1984 a 2004. Chwaraewr arall o Gymru a wnaeth ei farc yn yr Amerig oedd Cy Thomas. Mae hoci iâ yn perthyn i deulu campau hoci ac yn amrywiaeth boblogaidd ar y gamp. Yng Nghanada a'r Unol Daleithiau cyfeirir at hoci iâ yn syml fel hockey gan ystyried mae dyna'r gamp arferol â'r enw.",Bellach mae llawer o hoci iâ yng Nghymru ac yng ngwledydd Prydain. Gwir neu gau?,gau,0,1,true_false,Gau,1,DIM YN Y DARN TESTUN,0,DIM YN Y DARN TESTUN,0
"Math o chwaraeon yw hoci iâ, sy'n boblogaidd yn enwedig mewn gwledydd fel Canada, Rwsia, Sweden a'r Ffindir. Cynghrair Hoci Genedlaethol (NHL) Gogledd America yw'r gynghrair hoci iâ bwysicaf yn y byd, gyda thimau o Ganada ac o UDA. Bellach nid oes llawer o hoci iâ yng Nghymru nag yng ngwledydd Prydain, ond chwaraeai Steve Thomas yn yr NHL rhwng 1984 a 2004. Chwaraewr arall o Gymru a wnaeth ei farc yn yr Amerig oedd Cy Thomas. Mae hoci iâ yn perthyn i deulu campau hoci ac yn amrywiaeth boblogaidd ar y gamp. Yng Nghanada a'r Unol Daleithiau cyfeirir at hoci iâ yn syml fel hockey gan ystyried mae dyna'r gamp arferol â'r enw.",Faint o chwaraewyr sydd mewn tîm hoci iâ?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Dim yn y darn testun.,1,11 - 12 (dim yn y darn testun),0
"Math o chwaraeon yw hoci iâ, sy'n boblogaidd yn enwedig mewn gwledydd fel Canada, Rwsia, Sweden a'r Ffindir. Cynghrair Hoci Genedlaethol (NHL) Gogledd America yw'r gynghrair hoci iâ bwysicaf yn y byd, gyda thimau o Ganada ac o UDA. Bellach nid oes llawer o hoci iâ yng Nghymru nag yng ngwledydd Prydain, ond chwaraeai Steve Thomas yn yr NHL rhwng 1984 a 2004. Chwaraewr arall o Gymru a wnaeth ei farc yn yr Amerig oedd Cy Thomas. Mae hoci iâ yn perthyn i deulu campau hoci ac yn amrywiaeth boblogaidd ar y gamp. Yng Nghanada a'r Unol Daleithiau cyfeirir at hoci iâ yn syml fel hockey gan ystyried mae dyna'r gamp arferol â'r enw.",Mewn pa wledydd mae hoci iâ yn boblogaidd yn enwedig?,"Canada, Rwsia, Sweden a'r Ffindir",1,1,location,"Canada, Rwsia, Sweden a'r Ffindir",1,"Canada, Rwsia, Sweden a'r Ffindir.",1,"Canada, Rwsia, Sweden a'r Ffindir.",1
"Mae Tonga (yn swyddogol Teyrnas Tonga; yn y Tongaeg: Pule?anga Fakatu?i ?o Tonga) yn wlad sofran, ac yn wlad ynys ym Mholynesia, sy'n rhan o Oceania. Mae ganddi 171 o ynysoedd - gyda phobl yn byw ar 45 ohonynt nhw. Cyfanswm arwynebedd y wlad yw tua 750 cilometr sgwar (290 milltir sgwar) a hynny wedi ei wasgaru dros arwynebedd o tua 700,000 o gilometrau sgwar (270,000 milltir sgwar)yn Ne'r Cefnfor Tawel. O 2021 ymlaen, mae gan Tonga boblogaeth o 104,494, gyda 70% ohonynt yn byw ar y brif ynys, sef Tongatapu. ",Mae Polynesia yn rhan o Oceania. Gwir neu gau?,Gwir,1,1,true_false,Gwir,1,GWIR.,1,GWIR,1
"Mae Tonga (yn swyddogol Teyrnas Tonga; yn y Tongaeg: Pule?anga Fakatu?i ?o Tonga) yn wlad sofran, ac yn wlad ynys ym Mholynesia, sy'n rhan o Oceania. Mae ganddi 171 o ynysoedd - gyda phobl yn byw ar 45 ohonynt nhw. Cyfanswm arwynebedd y wlad yw tua 750 cilometr sgwar (290 milltir sgwar) a hynny wedi ei wasgaru dros arwynebedd o tua 700,000 o gilometrau sgwar (270,000 milltir sgwar)yn Ne'r Cefnfor Tawel. O 2021 ymlaen, mae gan Tonga boblogaeth o 104,494, gyda 70% ohonynt yn byw ar y brif ynys, sef Tongatapu. ",Beth yw'r prifddinas Tonga?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,Tongatapu,0,Nuku'alofa,0
"Mae Tonga (yn swyddogol Teyrnas Tonga; yn y Tongaeg: Pule?anga Fakatu?i ?o Tonga) yn wlad sofran, ac yn wlad ynys ym Mholynesia, sy'n rhan o Oceania. Mae ganddi 171 o ynysoedd - gyda phobl yn byw ar 45 ohonynt nhw. Cyfanswm arwynebedd y wlad yw tua 750 cilometr sgwar (290 milltir sgwar) a hynny wedi ei wasgaru dros arwynebedd o tua 700,000 o gilometrau sgwar (270,000 milltir sgwar)yn Ne'r Cefnfor Tawel. O 2021 ymlaen, mae gan Tonga boblogaeth o 104,494, gyda 70% ohonynt yn byw ar y brif ynys, sef Tongatapu. ",Mar Tonga yng Ngogledd Cefnfor Tawel. Gwir neu gau?,Gau,0,1,true_false,Gau,1,Gwir.,0,Gwir,0
"Mae Tonga (yn swyddogol Teyrnas Tonga; yn y Tongaeg: Pule?anga Fakatu?i ?o Tonga) yn wlad sofran, ac yn wlad ynys ym Mholynesia, sy'n rhan o Oceania. Mae ganddi 171 o ynysoedd - gyda phobl yn byw ar 45 ohonynt nhw. Cyfanswm arwynebedd y wlad yw tua 750 cilometr sgwar (290 milltir sgwar) a hynny wedi ei wasgaru dros arwynebedd o tua 700,000 o gilometrau sgwar (270,000 milltir sgwar)yn Ne'r Cefnfor Tawel. O 2021 ymlaen, mae gan Tonga boblogaeth o 104,494, gyda 70% ohonynt yn byw ar y brif ynys, sef Tongatapu. ",Beth yw'r brif ynys Tonga?,Tongatapu,0,1,location,Tongatapu,1,Tongatapu,1,Tongatapu,1
"Mae Tonga (yn swyddogol Teyrnas Tonga; yn y Tongaeg: Pule?anga Fakatu?i ?o Tonga) yn wlad sofran, ac yn wlad ynys ym Mholynesia, sy'n rhan o Oceania. Mae ganddi 171 o ynysoedd - gyda phobl yn byw ar 45 ohonynt nhw. Cyfanswm arwynebedd y wlad yw tua 750 cilometr sgwar (290 milltir sgwar) a hynny wedi ei wasgaru dros arwynebedd o tua 700,000 o gilometrau sgwar (270,000 milltir sgwar)yn Ne'r Cefnfor Tawel. O 2021 ymlaen, mae gan Tonga boblogaeth o 104,494, gyda 70% ohonynt yn byw ar y brif ynys, sef Tongatapu. ",Ar faint o ynysoedd yn Nhonga mae pobl yn byw?,45,1,1,other_numeric,45,1,45,1,45 o ynysoedd,1
"Astudiaeth wyddonol o hanes a diwylliant dyn drwy ddatguddio a dadansoddi olion ffisegol yw archaeoleg. Gall yr olion fod yn bensaernïol, yn olion dynol, neu'r dirlun hyd yn oed. Nod yr archaeolegydd yw rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir. Gall anthropoleg fod o help i'r archaeolegwr hefyd. O'r 16eg ymlaen rhoddwyd gogwydd pur wyddonol ar waith yr achaeolegydd. Mae'r dechnoleg ddiweddaraf, gan gynnwys dulliau dyddio radiometrig a charbon ddyddio yn dangos fod bywyd dynol wedi bodoli yng Nghymru ers dros chwarter miliwn o flynyddoedd. ",Gall daeryddiaeth fod o help i'r archaeolgwr. Gwir neu gau?,DIM YN Y DARN TESTUN,0,0,none,Gau,0,GWIR.,0,Gwir,0
"Astudiaeth wyddonol o hanes a diwylliant dyn drwy ddatguddio a dadansoddi olion ffisegol yw archaeoleg. Gall yr olion fod yn bensaernïol, yn olion dynol, neu'r dirlun hyd yn oed. Nod yr archaeolegydd yw rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir. Gall anthropoleg fod o help i'r archaeolegwr hefyd. O'r 16eg ymlaen rhoddwyd gogwydd pur wyddonol ar waith yr achaeolegydd. Mae'r dechnoleg ddiweddaraf, gan gynnwys dulliau dyddio radiometrig a charbon ddyddio yn dangos fod bywyd dynol wedi bodoli yng Nghymru ers dros chwarter miliwn o flynyddoedd. ",Ers pryd y mae gogwydd gwaith yr archeolegydd wedi bod yn bur wyddonol?,o'r 16eg,1,1,date,O'r 16eg ymlaen,1,Y 16eg.,1,O'r 16eg ganrif ymlaen.,1
"Astudiaeth wyddonol o hanes a diwylliant dyn drwy ddatguddio a dadansoddi olion ffisegol yw archaeoleg. Gall yr olion fod yn bensaernïol, yn olion dynol, neu'r dirlun hyd yn oed. Nod yr archaeolegydd yw rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir. Gall anthropoleg fod o help i'r archaeolegwr hefyd. O'r 16eg ymlaen rhoddwyd gogwydd pur wyddonol ar waith yr achaeolegydd. Mae'r dechnoleg ddiweddaraf, gan gynnwys dulliau dyddio radiometrig a charbon ddyddio yn dangos fod bywyd dynol wedi bodoli yng Nghymru ers dros chwarter miliwn o flynyddoedd. ",Ers faint o amser mae Cymru wedi bod yn gartref i fywyd dynol?,dros chwarter miliwn o flynyddoedd,1,1,clause,Dros chwarter miliwn o flynyddoedd,1,Dros chwarter miliwn o flynyddoedd.,1,DROS CHWARTER MILIWN O FLYNYDDOEDD.,1
"Astudiaeth wyddonol o hanes a diwylliant dyn drwy ddatguddio a dadansoddi olion ffisegol yw archaeoleg. Gall yr olion fod yn bensaernïol, yn olion dynol, neu'r dirlun hyd yn oed. Nod yr archaeolegydd yw rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir. Gall anthropoleg fod o help i'r archaeolegwr hefyd. O'r 16eg ymlaen rhoddwyd gogwydd pur wyddonol ar waith yr achaeolegydd. Mae'r dechnoleg ddiweddaraf, gan gynnwys dulliau dyddio radiometrig a charbon ddyddio yn dangos fod bywyd dynol wedi bodoli yng Nghymru ers dros chwarter miliwn o flynyddoedd. ",Beth yw nod yr archaeolegydd?, rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir,0,1,verb_phrase,rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir,1,Rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir.,1,Rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir.,1
"Astudiaeth wyddonol o hanes a diwylliant dyn drwy ddatguddio a dadansoddi olion ffisegol yw archaeoleg. Gall yr olion fod yn bensaernïol, yn olion dynol, neu'r dirlun hyd yn oed. Nod yr archaeolegydd yw rhoi goleuni ar hanes ac ymddygiad dyn dros dymor hir. Gall anthropoleg fod o help i'r archaeolegwr hefyd. O'r 16eg ymlaen rhoddwyd gogwydd pur wyddonol ar waith yr achaeolegydd. Mae'r dechnoleg ddiweddaraf, gan gynnwys dulliau dyddio radiometrig a charbon ddyddio yn dangos fod bywyd dynol wedi bodoli yng Nghymru ers dros chwarter miliwn o flynyddoedd. ",Faint o flynyddoedd mae archaeolegwyr yn astudio yn y brifysgol?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Mae’r gath (Felis catus neu domesticus) yn famal bach cigysol dof sydd â blew meddal, trwyn byr wisgerog ac ewinedd gwrthdynnol. Mae’n anifail anwes a fegir am ei chwmnïaeth, yn aml, a’i gallu i hela pryf a nadroedd a hynny ers o leiaf 9,500 o flynyddoedd. Mae’n heliwr celfydd, a cheir dros fil o wahanol fathau. Gellir ei hyfforddi i ufuddhau i orchmynion syml. Mae rhai cathod penodol yn enwog am allu gweithio systemau mecanyddol syml fel dyrnau drysau. Mae cathod yn defnyddio nifer o wahanol fathau o synau ac iaith-gorfforol wrth gyfathrebu. Gyda 600 miliwn o gathod fel anifeiliad anwes ledled y byd, cathod, mae’n bosib, yw’r anifail anwes mwyaf poblogaidd yn y byd.",Faint o gathod fel anifeiliad anwes sydd ledled y byd?,600 miliwn,0,1,other_numeric,600 miliwn,1,600 miliwn,1,DIM YN Y DARN TESTUN,0
"Mae’r gath (Felis catus neu domesticus) yn famal bach cigysol dof sydd â blew meddal, trwyn byr wisgerog ac ewinedd gwrthdynnol. Mae’n anifail anwes a fegir am ei chwmnïaeth, yn aml, a’i gallu i hela pryf a nadroedd a hynny ers o leiaf 9,500 o flynyddoedd. Mae’n heliwr celfydd, a cheir dros fil o wahanol fathau. Gellir ei hyfforddi i ufuddhau i orchmynion syml. Mae rhai cathod penodol yn enwog am allu gweithio systemau mecanyddol syml fel dyrnau drysau. Mae cathod yn defnyddio nifer o wahanol fathau o synau ac iaith-gorfforol wrth gyfathrebu. Gyda 600 miliwn o gathod fel anifeiliad anwes ledled y byd, cathod, mae’n bosib, yw’r anifail anwes mwyaf poblogaidd yn y byd.",Mamal bach yw'r gath. Gwir neu gau?,Gwir,1,1,true_false,Gwir,1,GWIR.,1,Gwir,1
"Mae’r gath (Felis catus neu domesticus) yn famal bach cigysol dof sydd â blew meddal, trwyn byr wisgerog ac ewinedd gwrthdynnol. Mae’n anifail anwes a fegir am ei chwmnïaeth, yn aml, a’i gallu i hela pryf a nadroedd a hynny ers o leiaf 9,500 o flynyddoedd. Mae’n heliwr celfydd, a cheir dros fil o wahanol fathau. Gellir ei hyfforddi i ufuddhau i orchmynion syml. Mae rhai cathod penodol yn enwog am allu gweithio systemau mecanyddol syml fel dyrnau drysau. Mae cathod yn defnyddio nifer o wahanol fathau o synau ac iaith-gorfforol wrth gyfathrebu. Gyda 600 miliwn o gathod fel anifeiliad anwes ledled y byd, cathod, mae’n bosib, yw’r anifail anwes mwyaf poblogaidd yn y byd.",Ydy pobl yn cael cathod ar gyfer cwmnïaeth?,Ydy,1,1,yes_no,"Ie, yn aml",1,Hocw,0,DIM YN Y DARN TESTUN,0
"Mae’r gath (Felis catus neu domesticus) yn famal bach cigysol dof sydd â blew meddal, trwyn byr wisgerog ac ewinedd gwrthdynnol. Mae’n anifail anwes a fegir am ei chwmnïaeth, yn aml, a’i gallu i hela pryf a nadroedd a hynny ers o leiaf 9,500 o flynyddoedd. Mae’n heliwr celfydd, a cheir dros fil o wahanol fathau. Gellir ei hyfforddi i ufuddhau i orchmynion syml. Mae rhai cathod penodol yn enwog am allu gweithio systemau mecanyddol syml fel dyrnau drysau. Mae cathod yn defnyddio nifer o wahanol fathau o synau ac iaith-gorfforol wrth gyfathrebu. Gyda 600 miliwn o gathod fel anifeiliad anwes ledled y byd, cathod, mae’n bosib, yw’r anifail anwes mwyaf poblogaidd yn y byd.",O ble mae cathod yn dod?,DIM YN Y DARN TESTUN,0,0,none,Felis catus neu domesticus,0,Dwyrain Affrica,0,Dim yn y darn testun,1
"Mae’r gath (Felis catus neu domesticus) yn famal bach cigysol dof sydd â blew meddal, trwyn byr wisgerog ac ewinedd gwrthdynnol. Mae’n anifail anwes a fegir am ei chwmnïaeth, yn aml, a’i gallu i hela pryf a nadroedd a hynny ers o leiaf 9,500 o flynyddoedd. Mae’n heliwr celfydd, a cheir dros fil o wahanol fathau. Gellir ei hyfforddi i ufuddhau i orchmynion syml. Mae rhai cathod penodol yn enwog am allu gweithio systemau mecanyddol syml fel dyrnau drysau. Mae cathod yn defnyddio nifer o wahanol fathau o synau ac iaith-gorfforol wrth gyfathrebu. Gyda 600 miliwn o gathod fel anifeiliad anwes ledled y byd, cathod, mae’n bosib, yw’r anifail anwes mwyaf poblogaidd yn y byd.",Mae cathod yn gallu hela pa anifeiliad?,pryf a nadroedd,0,1,noun_phrase,pryf a nadroedd,1,Pryf a nadroedd.,1,"Ia, mae cathod yn gallu hela pryf a nadroedd.",1
"Y Lleuad (enw benywaidd) neu'r Lloer (enw benywaidd) yw unig loeren naturiol sylweddol y Ddaear. Mae'r Lleuad yn troi o amgylch y ddaear mewn orbit o 27.3 diwrnod ac ei gyfartaledd pellter o'r ddaear yw 384,403 km. Fe gymer 1.3 eiliad i'r goleuni o'r haul a adlewyrchir oddi ar wyneb y Lleuad deithio i'r ddaear (yn ôl cyflymdra goleuni). Mae tua 500,000 o graterau ar ei hwyneb. Grym disgyrchiant sydd yn dal y lleuad yn ei horbit. Does fawr ddim atmosffer ganddi i'w hamddiffyn. Credir i'r lleuad gael ei ffurfio 4.46 biliwn o flynyddoedd yn ôl, ychydig wedi i'r Ddaear gael ei ffurfio.",Beth sydd yn dal y Lleuad yn ei horbit?,grym disgyrchiant ,0,1,noun_phrase,Grym disgyrchiant,1,Grym disgyrchiant y Ddaear.,1,Grym disgyrchiant,1
"Y Lleuad (enw benywaidd) neu'r Lloer (enw benywaidd) yw unig loeren naturiol sylweddol y Ddaear. Mae'r Lleuad yn troi o amgylch y ddaear mewn orbit o 27.3 diwrnod ac ei gyfartaledd pellter o'r ddaear yw 384,403 km. Fe gymer 1.3 eiliad i'r goleuni o'r haul a adlewyrchir oddi ar wyneb y Lleuad deithio i'r ddaear (yn ôl cyflymdra goleuni). Mae tua 500,000 o graterau ar ei hwyneb. Grym disgyrchiant sydd yn dal y lleuad yn ei horbit. Does fawr ddim atmosffer ganddi i'w hamddiffyn. Credir i'r lleuad gael ei ffurfio 4.46 biliwn o flynyddoedd yn ôl, ychydig wedi i'r Ddaear gael ei ffurfio.",Oes lleuad gen Fenws?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Y Lleuad (enw benywaidd) neu'r Lloer (enw benywaidd) yw unig loeren naturiol sylweddol y Ddaear. Mae'r Lleuad yn troi o amgylch y ddaear mewn orbit o 27.3 diwrnod ac ei gyfartaledd pellter o'r ddaear yw 384,403 km. Fe gymer 1.3 eiliad i'r goleuni o'r haul a adlewyrchir oddi ar wyneb y Lleuad deithio i'r ddaear (yn ôl cyflymdra goleuni). Mae tua 500,000 o graterau ar ei hwyneb. Grym disgyrchiant sydd yn dal y lleuad yn ei horbit. Does fawr ddim atmosffer ganddi i'w hamddiffyn. Credir i'r lleuad gael ei ffurfio 4.46 biliwn o flynyddoedd yn ôl, ychydig wedi i'r Ddaear gael ei ffurfio.",Lloeren y Ddaer yw'r Lleuad. Gwir neu gau?,Gwir,1,1,true_false,Gwir,1,GWIR.,1,Gwir,1
"Y Lleuad (enw benywaidd) neu'r Lloer (enw benywaidd) yw unig loeren naturiol sylweddol y Ddaear. Mae'r Lleuad yn troi o amgylch y ddaear mewn orbit o 27.3 diwrnod ac ei gyfartaledd pellter o'r ddaear yw 384,403 km. Fe gymer 1.3 eiliad i'r goleuni o'r haul a adlewyrchir oddi ar wyneb y Lleuad deithio i'r ddaear (yn ôl cyflymdra goleuni). Mae tua 500,000 o graterau ar ei hwyneb. Grym disgyrchiant sydd yn dal y lleuad yn ei horbit. Does fawr ddim atmosffer ganddi i'w hamddiffyn. Credir i'r lleuad gael ei ffurfio 4.46 biliwn o flynyddoedd yn ôl, ychydig wedi i'r Ddaear gael ei ffurfio.",Beth yw cyfartaledd pellter y Lleuad o'r Ddaear,"384,403 km",1,1,other_numeric,"384,403 km",1,"384,403 km",1,"384,403 km",1
"Y Lleuad (enw benywaidd) neu'r Lloer (enw benywaidd) yw unig loeren naturiol sylweddol y Ddaear. Mae'r Lleuad yn troi o amgylch y ddaear mewn orbit o 27.3 diwrnod ac ei gyfartaledd pellter o'r ddaear yw 384,403 km. Fe gymer 1.3 eiliad i'r goleuni o'r haul a adlewyrchir oddi ar wyneb y Lleuad deithio i'r ddaear (yn ôl cyflymdra goleuni). Mae tua 500,000 o graterau ar ei hwyneb. Grym disgyrchiant sydd yn dal y lleuad yn ei horbit. Does fawr ddim atmosffer ganddi i'w hamddiffyn. Credir i'r lleuad gael ei ffurfio 4.46 biliwn o flynyddoedd yn ôl, ychydig wedi i'r Ddaear gael ei ffurfio.",Faint o bobl sy wedi teithio i'r Lleuad?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
"Gr?p o systemau, traddodiadau a chredoau lle mae gwybodaeth o safle ymddangosiadol planedau a lloerenau'r gofod i'w weld yn ddefnyddiol wrth geisio deall a dehongli gwybodaeth am bersonoliaeth person yw sêr-ddewiniaeth neu astroleg. Gelwir person sy'n ymarfer sêr-ddewiniaeth, yn sêr-ddewin neu'n astrolegydd. Mae cofnodion o'r arfer hwn yn mynd nôl i tua'r 3 CC. Ym Mesopotamia a'r Hen Aifft roedd dosbarth arbennig o offeiriaid yn astudio'r nefoedd er mwyn ceisio darogan y dyfodol. Datblygodd seryddiaeth yn yr 17eg a'r 18g o'r hen wyddoniaeth a elwid yn astroleg.","Mae sêr-ddewin neu astrolegydd yn gr?p o draddodiadau, credoau a beth arall?",systemau,1,1,noun_phrase,systemau,1,Systemau,1,"Sêr-ddewin neu astrolegydd yw gr?p o draddodiadau, credoau a systemau (DIM YN Y DARN TESTUN)",0
"Gr?p o systemau, traddodiadau a chredoau lle mae gwybodaeth o safle ymddangosiadol planedau a lloerenau'r gofod i'w weld yn ddefnyddiol wrth geisio deall a dehongli gwybodaeth am bersonoliaeth person yw sêr-ddewiniaeth neu astroleg. Gelwir person sy'n ymarfer sêr-ddewiniaeth, yn sêr-ddewin neu'n astrolegydd. Mae cofnodion o'r arfer hwn yn mynd nôl i tua'r 3 CC. Ym Mesopotamia a'r Hen Aifft roedd dosbarth arbennig o offeiriaid yn astudio'r nefoedd er mwyn ceisio darogan y dyfodol. Datblygodd seryddiaeth yn yr 17eg a'r 18g o'r hen wyddoniaeth a elwid yn astroleg.",Ym Mesopotamia a'r Hen Aifft roedd dosbarth arbennig o offeiriaid yn astudio beth er mwyn ceisio darogan y dyfodol?,Y nefoedd,0,1,noun_phrase,y nefoedd,1,Nefoedd.,1,Iawn,0
"Gr?p o systemau, traddodiadau a chredoau lle mae gwybodaeth o safle ymddangosiadol planedau a lloerenau'r gofod i'w weld yn ddefnyddiol wrth geisio deall a dehongli gwybodaeth am bersonoliaeth person yw sêr-ddewiniaeth neu astroleg. Gelwir person sy'n ymarfer sêr-ddewiniaeth, yn sêr-ddewin neu'n astrolegydd. Mae cofnodion o'r arfer hwn yn mynd nôl i tua'r 3 CC. Ym Mesopotamia a'r Hen Aifft roedd dosbarth arbennig o offeiriaid yn astudio'r nefoedd er mwyn ceisio darogan y dyfodol. Datblygodd seryddiaeth yn yr 17eg a'r 18g o'r hen wyddoniaeth a elwid yn astroleg.",Pwy oedd yr astrolegydd cyntaf?,DIM YN Y DARN TESTUN,0,0,none,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1,DIM YN Y DARN TESTUN,1
